Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9988636363636364,1.0,0.75,0.8571428571428571
Decision Tree,0.9988636363636364,1.0,0.75,0.8571428571428571
Random Forest,0.9988636363636364,1.0,0.75,0.8571428571428571
