frame_number,detection_id,tracking_id,manual_timestamp,wall_time_iso,overlay_time,overlay_date,overlay_gps,overlay_accel_g,overlay_gyro_deg_s,overlay_ok,overlay_conf,overlay_ms,class,confidence,bbox_x,bbox_y,bbox_w,bbox_h,position,distance_m
28,,,16:51:40.700,2025-09-03T00:13:24.070541,,,,,,False,0.0,474.1,,,,,,,,
29,,,16:51:40.800,2025-09-03T00:13:24.819567,,,,,,False,0.0,449.3,,,,,,,,
30,,,16:51:40.900,2025-09-03T00:13:25.539511,,,,,,False,0.0,467.4,,,,,,,,
31,,,16:51:41.000,2025-09-03T00:13:26.312553,,,,,,False,0.0,448.9,,,,,,,,
32,,,16:51:41.100,2025-09-03T00:13:27.030095,,,,,,False,0.0,448.1,,,,,,,,
33,,,16:51:41.200,2025-09-03T00:13:27.759899,,,,,,False,0.0,439.1,,,,,,,,
34,,,16:51:41.300,2025-09-03T00:13:28.475842,,,,,,False,0.0,436.2,,,,,,,,
35,,,16:51:41.400,2025-09-03T00:13:29.192836,,,,,,False,0.0,441.2,,,,,,,,
36,,,16:51:41.500,2025-09-03T00:13:29.911647,,,,,,False,0.0,442.8,,,,,,,,
37,,,16:51:41.600,2025-09-03T00:13:30.627277,,,,,,False,0.0,450.8,,,,,,,,
38,,,16:51:41.700,2025-09-03T00:13:31.352136,,,,,,False,0.0,442.0,,,,,,,,
39,,,16:51:41.800,2025-09-03T00:13:32.072449,,,,,,False,0.0,441.2,,,,,,,,
40,,,16:51:41.900,2025-09-03T00:13:32.784044,,,,,,False,0.0,437.1,,,,,,,,
41,,,16:51:42.000,2025-09-03T00:13:33.494016,,,,,,False,0.0,434.5,,,,,,,,
42,,,16:51:42.100,2025-09-03T00:13:34.193892,,,,,,False,0.0,438.3,,,,,,,,
43,,,16:51:42.200,2025-09-03T00:13:34.900194,,,,,,False,0.0,448.2,,,,,,,,
44,,,16:51:42.300,2025-09-03T00:13:35.620175,,,,,,False,0.0,455.9,,,,,,,,
45,,,16:51:42.400,2025-09-03T00:13:36.353523,,,,,,False,0.0,515.4,,,,,,,,
46,,,16:51:42.500,2025-09-03T00:13:37.145319,,,,,,False,0.0,447.4,,,,,,,,
